"age","year","childs","zodiac"
50,2014,3,"aquarius"
62,2014,0,"aries"
73,2014,1,"leo"
41,2014,1,"libra"
39,2014,3,"leo"
29,2014,3,"aquarius"
59,2014,2,"leo"
55,2014,0,"aries"
34,2014,2,"scorpio"
47,2014,2,"capricorn"
60,2014,2,"scorpio"
67,2014,2,"libra"
57,2014,1,"taurus"
48,2014,2,"scorpio"
30,2014,2,"libra"
60,2014,2,"aries"
58,2014,2,"virgo"
63,2014,0,NA
57,2014,1,"virgo"
66,2014,6,"cancer"
87,2014,5,"aries"
55,2014,1,"capricorn"
54,2014,2,"leo"
63,2014,2,"scorpio"
26,2014,0,"scorpio"
67,2014,1,"scorpio"
81,2014,4,"capricorn"
73,2014,3,"aries"
78,2014,3,"pisces"
77,2014,3,"virgo"
47,2014,4,"leo"
62,2014,2,"aquarius"
83,2014,0,"leo"
41,2014,2,"sagittarius"
44,2014,0,"aries"
54,2014,3,"aries"
57,2014,1,"scorpio"
26,2014,0,"aries"
60,2014,0,"aries"
30,2014,2,"gemini"
72,2014,2,"capricorn"
68,2014,8,"cancer"
46,2014,1,NA
59,2014,NA,"libra"
77,2014,8,"gemini"
59,2014,3,"libra"
47,2014,1,"capricorn"
51,2014,2,"cancer"
42,2014,0,"scorpio"
75,2014,3,"taurus"
66,2014,5,"leo"
